,City,Cloudiness,Country,Humidity,Lat,Lng,Max_temp,Wind_speed
182,moranbah,96.0,AU,53.0,-22.0,148.04,44.79,10.2
183,cabo san lucas,20.0,MX,55.0,22.89,-109.91,93.99,13.87
184,codrington,0.0,AU,74.0,-28.95,153.24,50.0,12.75
185,katsuura,75.0,JP,88.0,33.93,134.5,73.4,8.05
186,nanortalik,97.0,GL,89.0,60.14,-45.24,40.11,9.01
187,cidreira,100.0,BR,74.0,-30.17,-50.22,58.11,6.89
188,marienburg,75.0,DE,72.0,52.12,9.98,63.0,5.82
189,marshalltown,40.0,US,52.0,42.04,-92.91,89.6,10.29
190,kruisfontein,12.0,ZA,93.0,-34.0,24.73,51.81,6.49
191,scornicesti,80.0,RO,93.0,44.57,24.55,66.99,2.24
192,wanxian,92.0,CN,84.0,30.8,108.39,72.51,2.44
193,luderitz,0.0,NA,93.0,-26.65,15.16,51.8,10.29
194,haines junction,87.0,CA,56.0,60.75,-137.51,55.95,6.42
195,mecca,0.0,SA,48.0,21.43,39.83,86.19,7.74
196,hithadhoo,18.0,MV,75.0,-0.6,73.08,83.67,9.66
197,ust-tsilma,100.0,RU,81.0,65.44,52.15,57.93,4.79
198,porto novo,0.0,BR,28.0,-23.68,-45.44,82.4,11.41
199,sao filipe,75.0,CV,86.0,14.9,-24.5,74.31,13.18
200,borsa,100.0,RO,79.0,47.66,24.66,54.0,4.03
201,morro bay,75.0,US,82.0,35.37,-120.85,91.0,5.82
202,kavieng,100.0,PG,84.0,-2.57,150.8,79.17,11.68
203,middlebury,20.0,US,65.0,44.01,-73.17,80.01,8.05
204,salta,40.0,AR,42.0,-24.79,-65.41,69.8,4.7
205,brigantine,1.0,US,49.0,39.41,-74.36,93.99,11.41
206,drovyanaya,51.0,RU,77.0,51.58,113.05,59.0,6.71
207,richards bay,0.0,ZA,80.0,-28.77,32.06,71.07,21.56
208,conneaut,1.0,US,44.0,41.95,-80.55,80.01,5.82
209,cassilandia,29.0,BR,38.0,-19.11,-51.73,82.95,1.68
210,castro,75.0,CL,81.0,-42.48,-73.76,48.2,10.29
211,lagoa,0.0,PT,73.0,37.14,-8.45,84.0,20.8
212,tessalit,69.0,ML,13.0,20.2,1.01,102.93,11.52
213,buraydah,0.0,SA,18.0,26.33,43.97,96.8,5.82
214,olinda,90.0,AU,87.0,-37.84,145.39,50.0,14.99
215,jacareacanga,53.0,BR,36.0,-6.22,-57.76,93.39,4.23
216,bathsheba,75.0,BB,74.0,13.22,-59.52,84.2,24.16
217,acapulco,40.0,MX,79.0,16.86,-99.88,84.2,5.82
